ptl/train_loss,ptl/train_accuracy,ptl/val_loss,ptl/val_accuracy,epoch,step,timestamp,checkpoint_dir_name,should_checkpoint,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
1.0170879364013672,0.9850745797157288,1.0166817903518677,0.9850745797157288,0,4,1738919035,checkpoint_000000,True,False,1,62632_00002,2025-02-07_04-03-55,27.89182448387146,27.89182448387146,1348034,della-l03g6,172.17.6.198,27.89182448387146,1
1.0154999494552612,0.9850745797157288,1.01511812210083,0.9850745797157288,1,8,1738919042,checkpoint_000001,True,False,2,62632_00002,2025-02-07_04-04-02,7.302252531051636,35.194077014923096,1348034,della-l03g6,172.17.6.198,35.194077014923096,2
1.0140085220336914,0.9850745797157288,1.0136500597000122,0.9850745797157288,2,12,1738919050,checkpoint_000002,True,False,3,62632_00002,2025-02-07_04-04-10,7.645030498504639,42.839107513427734,1348034,della-l03g6,172.17.6.198,42.839107513427734,3
1.0126084089279175,0.9850745797157288,1.012271761894226,0.9850745797157288,3,16,1738919058,checkpoint_000003,True,False,4,62632_00002,2025-02-07_04-04-18,8.557780027389526,51.39688754081726,1348034,della-l03g6,172.17.6.198,51.39688754081726,4
1.0112918615341187,0.9850745797157288,1.0109750032424927,0.9850745797157288,4,20,1738919065,checkpoint_000004,True,False,5,62632_00002,2025-02-07_04-04-25,6.928897380828857,58.32578492164612,1348034,della-l03g6,172.17.6.198,58.32578492164612,5
1.0100516080856323,0.9850745797157288,1.0097521543502808,0.9850745797157288,5,24,1738919073,checkpoint_000005,True,False,6,62632_00002,2025-02-07_04-04-33,7.176448583602905,65.50223350524902,1348034,della-l03g6,172.17.6.198,65.50223350524902,6
1.0088777542114258,0.9850745797157288,1.0085934400558472,0.9850745797157288,6,28,1738919080,checkpoint_000006,True,False,7,62632_00002,2025-02-07_04-04-40,7.683764457702637,73.18599796295166,1348034,della-l03g6,172.17.6.198,73.18599796295166,7
1.0077611207962036,0.9850745797157288,1.0074900388717651,0.9850745797157288,7,32,1738919087,checkpoint_000007,True,False,8,62632_00002,2025-02-07_04-04-47,7.119205713272095,80.30520367622375,1348034,della-l03g6,172.17.6.198,80.30520367622375,8
1.0066927671432495,0.9850745797157288,1.006432056427002,0.9850745797157288,8,36,1738919095,checkpoint_000008,True,False,9,62632_00002,2025-02-07_04-04-55,7.877456903457642,88.1826605796814,1348034,della-l03g6,172.17.6.198,88.1826605796814,9
1.0056629180908203,0.9850745797157288,1.0054103136062622,0.9850745797157288,9,40,1738919101,checkpoint_000009,True,False,10,62632_00002,2025-02-07_04-05-01,5.849161624908447,94.03182220458984,1348034,della-l03g6,172.17.6.198,94.03182220458984,10
1.0046626329421997,0.9850745797157288,1.0044163465499878,0.9850745797157288,10,44,1738919108,checkpoint_000010,True,False,11,62632_00002,2025-02-07_04-05-08,6.894670248031616,100.92649245262146,1348034,della-l03g6,172.17.6.198,100.92649245262146,11
1.0036829710006714,0.9850745797157288,1.0034397840499878,0.9850745797157288,11,48,1738919114,checkpoint_000011,True,False,12,62632_00002,2025-02-07_04-05-14,5.469285726547241,106.3957781791687,1348034,della-l03g6,172.17.6.198,106.3957781791687,12
1.0027130842208862,0.9850745797157288,1.0024710893630981,0.9850745797157288,12,52,1738919120,checkpoint_000012,True,False,13,62632_00002,2025-02-07_04-05-20,6.573873281478882,112.96965146064758,1348034,della-l03g6,172.17.6.198,112.96965146064758,13
1.0017427206039429,0.9850745797157288,1.0014985799789429,0.9850745797157288,13,56,1738919128,checkpoint_000013,True,False,14,62632_00002,2025-02-07_04-05-28,7.403241157531738,120.37289261817932,1348034,della-l03g6,172.17.6.198,120.37289261817932,14
1.0007591247558594,0.9850745797157288,1.0005093812942505,0.9850745797157288,14,60,1738919135,checkpoint_000014,True,False,15,62632_00002,2025-02-07_04-05-35,7.800880193710327,128.17377281188965,1348034,della-l03g6,172.17.6.198,128.17377281188965,15
0.9997472763061523,0.9850745797157288,0.9994878172874451,0.9850745797157288,15,64,1738919143,checkpoint_000015,True,False,16,62632_00002,2025-02-07_04-05-43,7.480400323867798,135.65417313575745,1348034,della-l03g6,172.17.6.198,135.65417313575745,16
0.9986891150474548,0.9850745797157288,0.9984145164489746,0.9850745797157288,16,68,1738919150,checkpoint_000016,True,False,17,62632_00002,2025-02-07_04-05-50,6.698170185089111,142.35234332084656,1348034,della-l03g6,172.17.6.198,142.35234332084656,17
